T	Y	obj
-3.25	3.8169318	ME
1	3.9805787	ME
15.04166667	3.8029955	ME
20.16666667	3.6452451	ME
11.5	3.6488427	ME
21.33333333	3.6966886	ME
31.66666667	3.4464177	ME
25.875	3.4495175	ME
39.75	3.2719862	ME
45.54166667	3.1724873	ME
11.375	3.7457691	ME
21.25	3.5666059	ME
26.83333333	3.4684208	ME
22.66666667	3.4219233	ME
24.20833333	3.4247099	ME
27.45833333	3.4300363	ME
28	3.4228103	ME
30.58333333	3.3166849	ME
17.75	3.5491501	ME
18.41666667	3.5246949	ME
29.20833333	3.3623075	ME
21	3.5317495	ME
22.16666667	3.4432079	ME
30.58333333	3.3243512	ME
23.08333333	3.3741572	ME
34	3.2136218	ME
23.54166667	3.3897102	ME
21.375	3.5172447	ME
21.08333333	3.4042241	ME
20.29166667	3.4834536	ME
34.125	3.2810591	ME
23.16666667	3.3765929	ME
34.41666667	3.2683356	ME
36.16666667	3.2160252	ME
39.66666667	3.1427566	ME
32.16666667	3.1419246	ME
40.375	3.1227582	ME
48.5	3.0194207	ME
36.20833333	3.1562803	ME
32.25	3.2159869	ME
38.41666667	3.0834453	ME
37	3.0720898	ME
43.20833333	3.034223	ME
41.79166667	3.0160961	ME
36.66666667	3.1556882	ME
36	3.0771036	ME
34.70833333	3.1237168	ME
32.375	3.1842952	ME
30.75	3.0925285	ME
29.375	3.0966189	ME
32.75	3.0935193	ME
31.75	3.201134	ME
33.54166667	3.0261322	ME
35.20833333	3.080613	ME
30.5	3.0645881	ME
22.625	3.2794754	ME
28.75	3.1683757	ME
32.58333333	3.1988261	ME
36.66666667	3.1885304	ME
37.16666667	3.0301589	ME
32.54166667	3.0854595	ME
34.625	3.0605149	ME
40.20833333	3.0018017	ME
39.75	2.9920634	ME
46.45833333	2.9703569	ME
33.16666667	3.041142	ME
35.5	3.000296	ME
39.125	3.0186643	ME
33.33333333	3.0644856	ME
32.125	3.0640697	ME
33.625	3.054433	ME
34.625	3.0499171	ME
36.08333333	3.0126539	ME
41.58333333	2.9453049	ME
50.83333333	2.8511372	ME
37.33333333	3.0898771	ME
43.91666667	2.9274743	ME
43.33333333	2.8638555	ME
42.125	2.9323891	ME
43.125	2.8520982	ME
47.83333333	2.7823961	ME
50.04166667	2.728197	ME
49.33333333	2.8228214	ME
53.70833333	2.8245863	ME
49.20833333	2.737945	ME
43.33333333	2.8284769	ME
46.91666667	2.8168307	ME
71.91666667	2.8063963	ME
67.45833333	2.8021194	ME
55.08333333	2.7557925	ME
54.33333333	2.699658	ME
50.20833333	2.6840326	ME
50.04166667	2.7202502	ME
49	2.6973541	ME
57.91666667	2.6988456	ME
